,Simplification Threshold,Number of Minima
141,8.344644015778613e-7,149
140,8.344642310476047e-7,150
139,8.344640036739293e-7,151
138,8.344637763002538e-7,152
137,8.344637763002538e-7,153
136,8.344622983713634e-7,154
135,8.344622983713634e-7,155
134,8.344604793819599e-7,156
133,8.344586603925563e-7,157
132,7.152552825573366e-7,158
131,7.152552257139178e-7,159
130,7.152549414968234e-7,160
129,7.152548278099857e-7,161
128,7.15254714123148e-7,162
127,7.152546004363103e-7,163
126,7.152546004363103e-7,164
125,7.152541456889594e-7,165
124,7.152536909416085e-7,166
123,7.152536909416085e-7,167
122,7.152536909416085e-7,168
121,7.152511898311786e-7,169
120,7.152266334742308e-7,170
119,5.960462772236497e-7,171
118,5.960462203802308e-7,172
117,5.960459361631365e-7,173
116,5.960457656328799e-7,174
115,5.960457656328799e-7,175
114,5.960455382592045e-7,176
113,5.960454245723668e-7,177
112,5.96045310885529e-7,178
111,5.960448561381781e-7,179
110,5.960446287645027e-7,180
109,5.960446287645027e-7,181
108,5.960446287645027e-7,182
107,5.960444013908273e-7,183
106,5.960444013908273e-7,184
105,5.960441740171518e-7,185
104,5.960437192698009e-7,186
103,5.9604326452245e-7,187
102,5.960428097750992e-7,188
101,4.768368739860307e-7,189
100,4.768367034557741e-7,190
99,4.768367034557741e-7,191
98,4.768365897689364e-7,192
97,4.768365897689364e-7,193
96,4.768365897689364e-7,194
95,4.7683624870842323e-7,195
94,4.768360213347478e-7,196
93,4.768360213347478e-7,197
92,4.7683579396107234e-7,198
91,4.7683579396107234e-7,199
90,4.768355665873969e-7,200
89,4.768344297190197e-7,201
88,4.768344297190197e-7,202
87,4.768344297190197e-7,203
86,4.768335202243179e-7,204
85,4.768335202243179e-7,205
84,3.576278118089249e-7,206
83,3.5762769812208717e-7,207
82,3.5762758443524945e-7,208
81,3.5762758443524945e-7,209
80,3.576275275918306e-7,210
79,3.576275275918306e-7,211
78,3.5762741390499286e-7,212
77,3.5762741390499286e-7,213
76,3.5762730021815514e-7,214
75,3.576271865313174e-7,215
74,3.576271865313174e-7,216
73,3.576271865313174e-7,217
72,3.576271865313174e-7,218
71,3.576271865313174e-7,219
70,3.576271865313174e-7,220
69,3.57626959157642e-7,221
68,3.5762673178396653e-7,222
67,3.5762673178396653e-7,223
66,3.5762673178396653e-7,224
65,3.576265044102911e-7,225
64,3.576265044102911e-7,226
63,3.576265044102911e-7,227
62,3.576260496629402e-7,228
61,3.5762514016823843e-7,229
60,2.3841855067985307e-7,230
59,2.3841855067985307e-7,231
58,2.3841852225814364e-7,232
57,2.3841852225814364e-7,233
56,2.3841852225814364e-7,234
55,2.3841846541472478e-7,235
54,2.3841846541472478e-7,236
53,2.3841835172788706e-7,237
52,2.3841835172788706e-7,238
51,2.3841835172788706e-7,239
50,2.3841823804104934e-7,240
49,2.3841823804104934e-7,241
48,2.3841823804104934e-7,242
47,2.3841812435421161e-7,243
46,2.3841789698053617e-7,244
45,2.3841766960686073e-7,245
44,2.3841721485950984e-7,246
43,2.3841676011215895e-7,247
42,1.1920928244535389e-7,248
41,1.1920928244535389e-7,249
40,1.1920928244535389e-7,250
39,1.1920928244535389e-7,251
38,1.1920926823449918e-7,252
37,1.1920926823449918e-7,253
36,1.1920926112907182e-7,254
35,1.1920926112907182e-7,255
34,1.1920923270736239e-7,256
33,1.1920923270736239e-7,257
32,1.1920923270736239e-7,258
31,1.1920917586394353e-7,259
30,1.1920917586394353e-7,260
29,1.1920917586394353e-7,261
28,1.1920917586394353e-7,262
27,1.1920917586394353e-7,263
26,1.1920917586394353e-7,264
25,1.1920906217710581e-7,265
24,1.1920906217710581e-7,266
23,1.1920906217710581e-7,267
22,1.1920883480343036e-7,268
21,1.1920883480343036e-7,269
20,1.1920838005607948e-7,270
19,1.192074705613777e-7,271
18,0,272
17,0,273
16,0,274
15,0,275
14,0,276
13,0,277
12,0,278
11,0,279
10,0,280
9,0,281
8,0,282
7,0,283
6,0,284
5,0,285
4,0,286
3,0,287
2,0,288
1,0,289
0,0,290
